Compound,HMDB,KEGG,High.Confidence.Annotation,Compound.Name,Retention.Time,m.z,Cluster..if.DA.,Putative.Chemical.Class,Adduct,hmdb_name,hmdb_theoretical_mz,hmdb_mz_diff,hmdb_ppm_error,hmdb_best_adduct,hmdb_match_quality,hmdb_match_strategy,kegg_theoretical_mz,kegg_mz_diff,kegg_ppm_error,kegg_best_adduct,kegg_match_quality,kegg_match_strategy
HILIC-pos_Cluster_1209: NA,,,True,,1.650998,336.324458,,N-acyl amines,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1210: NA,,,True,,1.88078,336.324778,,N-acyl amines,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1211: NA,,,True,,4.80724,337.002686,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1212: NA,,,True,,6.200595,337.145762,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1213: NA,,,True,,4.812552,337.17417,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1214: NA,,,True,,6.361507,337.185544,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1219: NA,,,True,,1.933924,337.251544,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1220: NA,,,True,,1.570287,337.272251,,Tetrahydrofurans,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1221: NA,,,True,,1.755928,337.272283,,"Gluco/mineralocorticoids, progestogins and derivatives",,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1222: NA,,,True,,1.859673,337.272462,,Tetrahydrofurans,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1223: NA,,,True,,5.087766,338.31508,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1224: NA,,,True,,1.846933,338.339949,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1227: NA,,,True,,1.940521,339.267038,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1228: NA,,,True,,2.341296,339.267084,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1229: NA,,,True,,4.346723,339.287932,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1230: NA,,,True,,1.56437,339.287717,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1231: NA,,,True,,1.758502,339.287867,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1232: NA,,,True,,1.669078,340.283124,,N-acyl-alpha amino acids,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1235: NA,,,True,,1.789622,341.282511,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1236: NA,,,True,,1.548725,341.303514,,Fatty alcohols,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1237: NA,,,True,,1.628583,341.303429,,Fatty alcohols,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1238: NA,,,True,,1.739598,341.303467,,Fatty alcohols,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1239: NA,,,True,,5.875858,341.35107,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1241: NA,,,True,,4.490357,342.137999,,Fatty acyl glycosides of mono- and disaccharides,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1242: NA,,,True,,4.935127,342.138054,,Aminocyclitol glycosides,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1244: NA,,,True,,4.42137,342.210736,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1245: NA,,,True,,1.664242,342.298793,,N-acyl-alpha amino acids,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1247: NA,,,True,,5.152426,343.091158,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1248: NA,,,True,,5.402865,343.090869,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1249: NA,,,True,,7.510006,343.088647,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1250: NA,,,True,,7.615886,343.088755,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1251: NA,,,True,,6.78521,343.294183,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1252: NA,,,True,,5.375087,344.226348,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1254: NA,,,True,,2.800827,344.278211,,Acyl carnitines,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1255: NA,,,True,,1.748365,344.293492,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1257: NA,,,True,,2.730929,344.314349,,Long-chain fatty acids,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1259: NA,,,True,,1.725765,345.059049,,Flavonoids,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1261: NA,,,True,,2.649793,345.143169,,Dipeptides,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1262: NA,,,True,,1.942837,345.143187,,Dipeptides,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1263: NA,,,True,,8.9668,345.223152,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1264: NA,,,True,,7.984721,346.007783,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1268: NA,,,True,,1.738209,346.308917,,Phenylmethylamines,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1269: NA,,,True,,7.999534,347.015408,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1270: NA,,,True,,4.894566,347.093559,,Benzodiazepines,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1271: NA,,,True,,5.521333,347.093163,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1272: NA,,,True,,7.003284,347.097531,,Galloyl esters,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1273: NA,,,True,,3.159258,347.122114,,Benzamides,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1274: NA,,,True,,6.210209,347.304152,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1276: NA,,,True,,5.69494,348.324336,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1277: NA,,,True,,1.727088,348.324537,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1278: NA,,,True,,6.930422,349.00585,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1279: NA,,,True,,5.169951,349.108825,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1280: NA,,,True,,1.647745,349.271946,,Kaurane diterpenoids,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1281: NA,,,True,,8.591761,350.013991,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1282: NA,,,True,,1.726772,350.340166,,Piperidines,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1283: NA,,,True,,1.906313,352.319446,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1284: NA,,,True,,7.953313,352.330845,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1285: NA,,,True,,2.222704,353.148413,,Tryptamines and derivatives,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1286: NA,,,True,,1.940995,353.246008,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1287: NA,,,True,,2.426875,353.245905,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1288: NA,,,True,,1.673615,353.267116,,Lineolic acids and derivatives,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1289: NA,,,True,,1.829083,353.267171,,Lineolic acids and derivatives,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1290: NA,,,True,,5.879677,353.350877,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1291: NA,,,True,,2.492737,354.201001,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1292: NA,,,True,,1.895027,354.335109,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1293: NA,,,True,,5.621028,355.090816,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1294: NA,,,True,,1.95204,355.26177,,Phenol ethers,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1295: NA,,,True,,3.134026,355.26114,,Phenol ethers,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1296: NA,,,True,,1.668438,355.282693,,Lineolic acids and derivatives,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1297: NA,,,True,,1.779573,355.282862,,Lineolic acids and derivatives,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1298: NA,,,True,,4.960367,356.040062,,,,,,,,,no_id,,,,,,no_id,
HILIC-pos_Cluster_1300: NA,,,True,,1.699052,356.220545,,Benzodioxoles,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1523: NA,,,True,,3.502656,450.28578,,Ergoline and derivatives,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1524: NA,,,True,,4.075665,451.240687,,Diphenylacetonitriles,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1525: NA,,,True,,4.116253,451.306471,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1526: NA,,,True,,6.743812,451.306407,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1527: NA,,,True,,1.166155,451.325682,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1528: NA,,,True,,1.178282,451.34315,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1530: NA,,,True,,2.774287,452.277829,,1-acyl-sn-glycero-3-phosphoethanolamines,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1531: NA,,,True,,1.055063,453.191408,,Benzopyrans,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1532: NA,,,True,,7.737181,453.231596,,Glycosyl compounds,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1533: NA,,,True,,6.691395,453.32193,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1536: NA,,,True,,1.507291,453.990206,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1537: NA,,,True,,1.498245,455.02807,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1538: NA,,,True,,1.076164,455.206862,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1539: NA,,,True,,7.986476,455.24742,,"Bile acids, alcohols and derivatives",,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1540: NA,,,True,,3.785334,455.277986,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1541: NA,,,True,,1.040741,455.300713,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1543: NA,,,True,,1.506753,455.986957,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1544: NA,,,True,,1.498716,457.025079,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1545: NA,,,True,,3.944886,457.292989,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1547: NA,,,True,,1.507743,457.982239,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1548: NA,,,True,,1.497894,459.022322,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1549: NA,,,True,,2.076714,459.171689,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1551: NA,,,True,,3.251085,459.34776,,Ergosterols and derivatives,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1552: NA,,,True,,1.496097,459.999059,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1553: NA,,,True,,3.652165,461.249822,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1554: NA,,,True,,3.551703,461.327158,,"Tetrahydroxy bile acids, alcohols and derivatives",,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1556: NA,,,True,,1.095945,461.363452,,Stigmastanes and derivatives,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1557: NA,,,True,,1.495744,461.996371,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1558: NA,,,True,,4.38668,462.091989,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1559: NA,,,True,,2.08404,462.146083,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1561: NA,,,True,,2.754556,462.298825,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1562: NA,,,True,,2.62054,462.361867,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1563: NA,,,True,,3.38692,463.265085,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1564: NA,,,True,,8.865751,463.307268,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1565: NA,,,True,,3.709918,463.306611,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1566: NA,,,True,,14.97873,463.328178,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1567: NA,,,True,,6.709587,463.342851,,Brassinolides and derivatives,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1568: NA,,,True,,1.140468,463.343402,,Brassinolides and derivatives,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1570: NA,,,True,,1.786616,464.151582,,Lactams,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1572: NA,,,True,,2.747889,464.314407,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1574: NA,,,True,,4.117753,465.285479,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1575: NA,,,True,,6.669597,465.285175,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1576: NA,,,True,,3.02183,465.304357,,Cholesterols and derivatives,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1577: NA,,,True,,3.810928,465.322247,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1578: NA,,,True,,4.132787,465.321219,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1581: NA,,,True,,6.680193,467.300772,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1582: NA,,,True,,1.227963,467.336882,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1583: NA,,,True,,3.240446,468.308871,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1584: NA,,,True,,4.021309,468.326179,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1586: NA,,,True,,3.13991,469.211119,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1587: NA,,,True,,7.414108,469.226107,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1589: NA,,,True,,14.808902,469.265112,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1590: NA,,,True,,6.653224,469.317199,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1593: NA,,,True,,4.930805,471.260169,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1594: NA,,,True,,3.942844,471.277655,,"Eudesmane, isoeudesmane or cycloeudesmane sesquiterpenoids",,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1596: NA,,,True,,2.612625,472.202923,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1597: NA,,,True,,6.411645,472.24104,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1598: NA,,,True,,14.804948,472.239843,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1599: NA,,,True,,3.524894,473.217505,,Benzopyrans,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1600: NA,,,True,,1.12385,473.21821,,Benzopyrans,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1601: NA,,,True,,1.042134,473.259564,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1603: NA,,,True,,14.984866,473.281713,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1604: NA,,,True,,4.044951,473.287476,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1606: NA,,,True,,3.062996,475.306147,,Cholesterols and derivatives,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1607: NA,,,True,,3.162879,475.342261,,"Tetrahydroxy bile acids, alcohols and derivatives",,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1609: NA,,,True,,1.104603,475.342251,,"Tetrahydroxy bile acids, alcohols and derivatives",,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1610: NA,,,True,,4.01991,476.262704,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1611: NA,,,True,,2.77637,476.27957,,1-acyl-sn-glycero-3-phosphoethanolamines,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1614: NA,,,True,,6.703642,477.321859,,"Pentahydroxy bile acids, alcohols and derivatives",,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1615: NA,,,True,,1.090752,477.358406,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1616: NA,,,True,,2.751853,478.293312,,1-acyl-sn-glycero-3-phosphoethanolamines,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1618: NA,,,True,,8.130598,479.300932,,"Hydroxy bile acids, alcohols and derivatives",,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1619: NA,,,True,,3.025372,479.320054,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1621: NA,,,True,,1.148131,479.337156,,Brassinolides and derivatives,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1622: NA,,,True,,1.13772,479.373994,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1623: NA,,,True,,1.504588,480.023664,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1624: NA,,,True,,2.746885,480.309289,,1-acyl-sn-glycero-3-phosphoethanolamines,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1625: NA,,,True,,7.720346,481.262794,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1626: NA,,,True,,3.157338,481.29957,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1627: NA,,,True,,4.038937,481.317178,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1628: NA,,,True,,1.198345,481.353124,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1629: NA,,,True,,6.649306,481.353725,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1630: NA,,,True,,1.505585,482.020168,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1631: NA,,,True,,1.276975,482.326963,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1633: NA,,,True,,6.64361,483.296255,,Diterpene glycosides,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1634: NA,,,True,,3.166751,483.312823,,Triterpenoids,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1635: NA,,,True,,1.504524,484.017192,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1636: NA,,,True,,3.040333,484.307215,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1637: NA,,,True,,2.810556,485.151148,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1638: NA,,,True,,7.579209,485.184973,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1640: NA,,,True,,3.885599,485.256329,,Withanolides and derivatives,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1641: NA,,,True,,6.627097,485.312145,,Oligopeptides,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1642: NA,,,True,,6.412013,486.257076,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1644: NA,,,True,,7.410827,487.236976,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1647: NA,,,True,,8.589203,488.199888,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1649: NA,,,True,,6.635325,489.358343,,Triterpenoids,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1651: NA,,,True,,1.11162,491.358594,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1652: NA,,,True,,1.094681,491.374664,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1653: NA,,,True,,4.238068,492.257249,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1655: NA,,,True,,1.056185,493.281295,,Diterpenoids,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1656: NA,,,True,,1.278438,493.294961,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1657: NA,,,True,,6.632259,493.316888,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1661: NA,,,True,,1.215307,495.170775,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1662: NA,,,True,,1.619905,495.169686,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1663: NA,,,True,,7.4633,495.277143,,Sesterterpenoids,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1665: NA,,,True,,6.633205,495.332704,,2-acyl-sn-glycero-3-phosphocholines,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1666: NA,,,True,,1.192828,495.333034,,2-acyl-sn-glycero-3-phosphocholines,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1667: NA,,,True,,1.196183,495.369054,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1668: NA,,,True,,2.965069,496.308678,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1669: NA,,,True,,4.045491,496.327816,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1670: NA,,,True,,3.171205,497.293446,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1672: NA,,,True,,4.932675,497.27591,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1673: NA,,,True,,1.238181,497.347808,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1674: NA,,,True,,6.618857,497.348521,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1676: NA,,,True,,3.349641,499.309263,,Triterpenoids,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1677: NA,,,True,,8.598479,502.215426,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1678: NA,,,True,,9.493659,502.92829,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1679: NA,,,True,,2.877681,503.161365,,Oligosaccharides,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1681: NA,,,True,,6.663864,505.353562,,Triterpenoids,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1683: NA,,,True,,1.537096,507.033503,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1684: NA,,,True,,3.167732,507.272862,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1686: NA,,,True,,1.125489,507.369722,,Triterpenoids,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1687: NA,,,True,,3.64886,508.291709,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1688: NA,,,True,,3.014139,508.355852,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1689: NA,,,True,,1.537039,509.031212,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1690: NA,,,True,,14.311487,509.206654,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1691: NA,,,True,,6.602788,509.311685,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1692: NA,,,True,,3.139627,509.32475,,Triterpenoids,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1693: NA,,,True,,1.178081,509.347874,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1695: NA,,,True,,3.88407,510.321653,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1696: NA,,,True,,2.949805,511.309626,,Sesquiterpenoids,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1697: NA,,,True,,3.375045,511.33072,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1698: NA,,,True,,4.923498,511.327861,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1699: NA,,,True,,1.217997,511.3637,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1700: NA,,,True,,3.308205,511.472536,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1701: NA,,,True,,1.0553,513.212678,,Triterpenoids,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1702: NA,,,True,,6.603708,513.34311,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1703: NA,,,True,,4.922696,514.30193,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1704: NA,,,True,,5.040936,514.301631,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1705: NA,,,True,,3.253052,515.22815,,1-benzopyrans,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1706: NA,,,True,,1.078749,515.227902,,1-benzopyrans,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1707: NA,,,True,,1.652305,517.213747,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1708: NA,,,True,,1.090518,517.242976,,Benzopyrans,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1709: NA,,,True,,1.033124,517.286638,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1710: NA,,,True,,1.081129,517.389436,,Triterpenoids,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1712: NA,,,True,,1.081872,519.404929,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1713: NA,,,True,,7.375481,520.328171,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1714: NA,,,True,,3.130816,521.328574,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1715: NA,,,True,,6.644041,521.348234,,2-acyl-sn-glycero-3-phosphocholines,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1716: NA,,,True,,1.053743,521.384119,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1717: NA,,,True,,2.960725,522.325339,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1718: NA,,,True,,2.894579,523.303408,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1719: NA,,,True,,3.417782,523.309787,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1720: NA,,,True,,1.17851,523.327524,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1722: NA,,,True,,1.136146,523.364131,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1725: NA,,,True,,3.142137,524.304572,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1727: NA,,,True,,1.19303,525.343008,,,,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_1728: NA,,,True,,6.58355,525.379476,,,,,,,,,no_id,,,,,,no_id,
