Compound,HMDB,KEGG,High.Confidence.Annotation,Compound.Name,Retention.Time,m.z,Cluster..if.DA.,Putative.Chemical.Class,Adduct,hmdb_name,hmdb_theoretical_mz,hmdb_mz_diff,hmdb_ppm_error,hmdb_best_adduct,hmdb_match_quality,hmdb_match_strategy,kegg_theoretical_mz,kegg_mz_diff,kegg_ppm_error,kegg_best_adduct,kegg_match_quality,kegg_match_strategy
C18-neg_Cluster_1620: arachidonic acid,HMDB0001043,C00219,False,arachidonic acid,14.313547,507.194155,2.0,,[Unknown]-,Arachidonic acid,560.46433,-53.270175,95046.5,[2M-H]-,poor,iso+-1.003_loss-46.005,560.464269,-53.270114,95046.41,[2M-H]-,poor,iso+-1.003_loss-46.005
C18-neg_Cluster_1941: arachidonic acid,HMDB0001043,C00219,False,arachidonic acid,14.312981,575.182128,2.0,,[Unknown]-,Arachidonic acid,575.473318,-0.29119,506.0,[2M+H]+,poor,iso+2.007_loss-36.021,575.473257,-0.291129,505.89,[2M+H]+,poor,iso+2.007_loss-36.021
C18-neg_Cluster_0709: arachidonic acid,HMDB0001043,C00219,False,arachidonic acid,14.313255,371.220378,13.0,,[Unknown]-,Arachidonic acid,352.24795,18.972428,53861.0,[M+FA-H]-,poor,iso+3.010_loss-0.000,352.24792,18.972458,53861.09,[M+FA-H]-,poor,iso+3.010_loss-0.000
C18-neg_Cluster_0354: arachidonic acid,HMDB0001043,C00219,False,arachidonic acid,14.312958,303.232901,13.0,,[M-H]-,Arachidonic acid,303.232954,-5.3e-05,0.18,[M-H]-,good,iso+0.000_loss-0.000,303.232924,-2.3e-05,0.08,[M-H]-,good,iso+0.000_loss-0.000
C18-neg_Cluster_1131: arachidonic acid,HMDB0001043,C00219,False,arachidonic acid,14.313544,439.207761,13.0,,[Unknown]-,Arachidonic acid,560.46433,-121.256569,216350.2,[2M-H]-,poor,iso+-1.003_loss-46.005,560.464269,-121.256508,216350.11,[2M-H]-,poor,iso+-1.003_loss-46.005
HILIC-neg_Cluster_0290: arginine,HMDB0000517,C00062,False,arginine,4.262824,173.104141,,"Amino acids, peptides, and analogues",[M-H]-,L-Arginine,173.1044,-0.000259,1.49,[M-H]-,good,iso+0.000_loss-0.000,173.104424,-0.000283,1.63,[M-H]-,good,iso+0.000_loss-0.000
HILIC-pos_Cluster_0295: arginine,HMDB0000517,C00062,False,arginine,9.13588,175.118517,2.0,"Amino acids, peptides, and analogues",[M+H]+,L-Arginine,175.118952,-0.000435,2.48,[M+H]+,good,iso+0.000_loss-0.000,175.118976,-0.000459,2.62,[M+H]+,good,iso+0.000_loss-0.000
HILIC-neg_Cluster_0299: ascorbate,HMDB0000044,C00072,True,ascorbate,9.502579,175.024517,,Furanones,[M-H]-,Ascorbic acid,175.024243,0.000274,1.57,[M+FA-H]-,good,iso+0.000_loss-46.005,175.024255,0.000262,1.5,[M+FA-H]-,good,iso+0.000_loss-46.005
HILIC-pos_Cluster_0099: asparagine,HMDB0000168,C00152,False,asparagine,7.9256,133.06039,,Asparagine and derivatives,[M+H]+,L-Asparagine,133.060768,-0.000378,2.84,[M+H]+,good,iso+0.000_loss-0.000,133.060776,-0.000386,2.9,[M+H]+,good,iso+0.000_loss-0.000
HILIC-neg_Cluster_0112: asparagine,HMDB0000168,C00152,False,asparagine,3.96206,131.046065,,Asparagine and derivatives,[M-H]-,L-Asparagine,131.046216,-0.000151,1.15,[M-H]-,good,iso+0.000_loss-0.000,131.046224,-0.000159,1.21,[M-H]-,good,iso+0.000_loss-0.000
HILIC-neg_Cluster_0117: aspartate,HMDB0000191,C00049,True,aspartate,5.346335,132.030197,,"Amino acids, peptides, and analogues",[M-H]-,L-Aspartic acid,132.030232,-3.5e-05,0.26,[M-H]-,good,iso+0.000_loss-0.000,132.030224,-2.7e-05,0.2,[M-H]-,good,iso+0.000_loss-0.000
HILIC-pos_Cluster_0817: atenolol,HMDB0001924,C13235,True,atenolol,6.74024,267.169068,,Phenylacetamides,[M+H]+,Atenolol,267.170319,-0.001251,4.68,[M+H]+,good,iso+0.000_loss-0.000,267.149371,0.019697,73.73,[M-H2O+H]+,poor,iso+3.010_loss-44.998
HILIC-neg_Cluster_0365: azelaic acid,HMDB0000784,C08261,False,azelaic acid,7.129824,187.097181,6.0,Fatty acids and conjugates,[M-H]-,Azelaic acid,187.097014,0.000167,0.89,[M+FA-H]-,good,iso+0.000_loss-46.005,187.097055,0.000126,0.67,[M+FA-H]-,good,iso+0.000_loss-46.005
C18-neg_Cluster_0045: azelate,HMDB0000784,C08261,False,azelate,4.477811,187.096512,6.0,Fatty acids and conjugates,[M-H]-,Azelaic acid,187.097014,-0.000502,2.68,[M+FA-H]-,good,iso+0.000_loss-46.005,187.097055,-0.000543,2.9,[M+FA-H]-,good,iso+0.000_loss-46.005
HILIC-pos_Cluster_0009: beta-alanine,HMDB0000056,C00099,True,beta-alanine,7.961105,90.055235,,"Amino acids, peptides, and analogues",[M+H]+,beta-Alanine,90.054954,0.000281,3.12,[M+H]+,good,iso+0.000_loss-0.000,90.054976,0.000259,2.88,[M+H]+,good,iso+0.000_loss-0.000
C8-pos_Cluster_0515: beta-sitosterol,HMDB0000852,C01753,True,beta-sitosterol,7.722481,397.383243,,,[M-H2O+H]+,beta-Sitosterol,397.383427,-0.000184,0.46,[M-H2O+H]+,good,iso+0.000_loss-0.000,397.383461,-0.000218,0.55,[M-H2O+H]+,good,iso+0.000_loss-0.000
HILIC-pos_Cluster_0048: betaine,HMDB0000043,C00719,True,betaine,8.945123,118.085992,,"Amino acids, peptides, and analogues",[M+H]+,Betaine,118.086804,-0.000812,6.87,[M+FA-H]-,borderline,iso+0.000_loss-44.998,118.086276,-0.000284,2.41,[M+H]+,good,iso+0.000_loss-0.000
HILIC-pos_Cluster_2052: bilirubin,HMDB0000054,C00486,True,bilirubin,1.642753,585.267624,,,[M+H]+,Bilirubin,585.26684,0.000784,1.34,[M]+,good,iso+1.003_loss-0.000,585.266855,0.000769,1.31,[M]+,good,iso+1.003_loss-0.000
HILIC-neg_Cluster_0013: butyrate / isobutytare*,,,False,butyrate / isobutytare*,3.914183,87.045064,,Straight chain fatty acids,[M-H]-,,,,,,no_id,,,,,,no_id,
